x,fresnel_c(x),fresnel_s(x)
0,0,0
0.015625,0.015624999770205367033139612964161936894570178157529552822226600000361653749,1.9973707965772529178045309493026444038362189589026007664831618213892793061e-6
0.03125,0.03124999264657249607303312987115591715652391271167274760504042894466456811,1.597896385475711985097910735569381427026124825510181392752592520857946469e-5
0.046875,0.046874944159934605055119451228886085584632851592068591169709043030764821834,5.3928966186103351123932039190404434961918298289807085289231830919878763662e-5
0.0625,0.062499764690704392437825626674536546182138069680758838244254186676927880794,1.2783138855224588316718869362308636063347591150801063699359444168475823653e-4
0.078125,0.078124281894822960802678876089749255964799950794622077467292839200690304568,2.4966971296723332785648824475743189395171078639284564284205143875852802717e-4
0.09375,0.093748213132689473861063475895863905198832444239297504643424709787021876361,4.3142622296207483584527250842223923731551680583059001445507158036056127443e-4
0.109375,0.10937113790471455607279966275829790686647961998044186736208528918489086136,6.8508091089296861930479662280723666060866383286415302646231667363358943704e-4
0.125,0.12499247029941109950559526257972854711343585325571344809847819237283620451,0.0010226098566217430539373989595747450535829979892871811601068109028590391911
0.140625,0.14061143146277387082091715191595162111672551798413618278147805319583368794,0.0014559829719852107550887323446118676300310451452390812299551911821772677643
0.15625,0.15622702210110335470098925041426061764264951398040753753034708476539699275,0.0019971610056190409356266586625709013711365337947076341480073784887666025663
0.171875,0.17183799503339835591009172230919617209060508885876925256571408383652267705,0.0026580917029348796502709928936734304245854463666153377080627793299145050685
0.1875,0.18744282781397402464403866279445962150454845605743840649346625922330879752,0.0034507050163941716537798553824576128111125471376374042672185061017898720928
0.203125,0.20303969545105423903331068225382023428439133341913501794891052028044918052,0.0043869072617097134957585996351247123162626426292248648052751081138330974668
0.21875,0.2186264432527355375035912666607364698163884552982820268100239294866859001,0.0054785741162714891699457584819308017181387359183527867983915986154064383561
0.234375,0.23420055983791840224955432570475536975872115413533928195634987456177008256,0.0067375423569757017556682384368652671209902744954267565820239062120086551551
0.25,0.24975915035654318345922151780088572437813997705493806973778104513764448,0.0081756002357777557781023088669427747524867346980170860139764571438228281163
0.265625,0.26529890997074266406328343039393824941967711007384139314989562544084526786,0.0098044763927375736098257026689682031437920580103495037979469027174675349851
0.28125,0.28081609765631896202334809094439206335301518692685375966333299764474809939,0.011635827208128926143018678360166802440796143177248406105474902489669110038
0.296875,0.29630651039225392283329621355443241324347907093074161765850132636846424865,0.013681222497396754876026495878906644870790565178854119282848289087775164051
0.3125,0.31176545781475070117681803376661013894926666272182521607214018793095944733,0.015952129455424389924969850220644932139487297991293168471593359284073225188
0.328125,0.32718773742155728961504428748587415610386909167578827780000183512312819747,0.018459894759775869389542328416957514657003172425010413981294703587205290816
0.34375,0.34256761042201334092126388848611148383661295255855767281996003342704502516,0.021215724746369870860766401248104270563136388972381183154007222304639234325
0.359375,0.3578987783383578455334686119482255880928650937468788033760396585417902418,0.024230663575486325877280418657676804325973428697798451362660726420647095562
0.375,0.37317436047429970795682697625461851077174968534689465887594024031426216852,0.027515569311172155313461234310167992190860132365262346453464227704204041984
0.390625,0.38838687237764265379520458654478215042323901944286719163537437279179924527,0.031081087843068222009633727856575848157533969875038035883895946513888010647
0.40625,0.40352820543482026823969353003671165061600135242860364562102956240842732421,0.034937624586496532183444716334497427464709901534578588844407740133082573735
