x,f,g
0,0,0
0.03125,0.01560201186116235076875457374032092955845037002167664360618849249570870641542456407730496518677963826925599747354556278525371856385754790448351662152464,1.432850407190345931371678242332557454911312523101048285466200793280801805380613731326645488518027976832814310290556478550313891355281109284636707832781e-5
0.0625,0.03107364423008139449707803260190714634453997906445792865851474551146303370074502210125355582892932338630795712053032290646026323433115808948924580928421,1.075583880510074502775006217733340507037075576263994943386120274005168231968145056618266268297514182751832898956988592175810918965254484690834799015853e-4
0.09375,0.04630429703203070821749024055383084478890232982876082933921567835211651633741973082498800283626466354631998105570878074276408422530224143970619637961192,3.403919941336675289595171341120567454196993795223492150589238252443578894413996044088185752827910082659447252801496047208563882183265166786863210973779e-4
0.125,0.06120299524978191117873547218823878287775543262105724094607256405689809170970547057667135080283564657045109228670015875679019624473234828828137364191282,7.561330128967489252555618007774417819398402500446511926725516352369070067925525603981390932509158590303643986264855301279057443010684548153862108664461e-4
0.15625,0.07569630995342317345903448312580790905217216508890808063160499755014588386968992444112956524015624641332270859085113426795661906320010964428242393070469,0.00138326151534086809922102249501850245718257554106697531779663071450861610683667590902921545470565520529139555500605542763576520077918103883729163199149
0.1875,0.08972637676874253921515264402323738746047584724856877819962930700291264388409761261966240868239861501049224352498357002766096165424281654491292982953801,0.002237835038570568894212209087654803252875485785552911305665482678414452184739622134846524166321733639140257695115802553017594701785559161833146817829178
0.21875,0.1032490293692769486397362356445507125275339232876881327325124668857739886814106485455797403816230796351585241597892271821336055837663673422570320944988,0.003325689201472913548268146470827123585633933855975739800954720016944226281423761861968420025383652364419053664475011093794560220605014966408455562088608
0.25,0.1162320595935959067242380110591682789226747596881753775095721566941366638587899884179338375331235066092343017003848029573558961452136974434991183589228,0.004644423324434899587004748527766003288173550326550164552714185667965481278508796033463280525282859181082767890572996708471742526046639562322869437556761
0.28125,0.1286536108211466895008313847406745955283687166876645173030987750795683044107699854186128314567220134058358293954285848425623601979790111570988724026032,0.006185166082203579400864289592177415506545578861240430442714492417950844468349952928453003048623349132803929167038740089114098491943207770915954156924046
0.3125,0.1405007071860353659359941631391544779283712973888491029280852181223900510278862274067417297503731675750052971390308631159446693463998391859720626916615,0.007934123625868536144822106631156671323312337338192798259334760450059467094998487438853839937021843951050204547194255512804127512000949909620202648918279
0.34375,0.1517679179656112649919023976659405566977202299348627718877827063900927315454847355719994348541444298181096953722950375201077176216121818102182313468496,0.009873918162146074743311791237846223596619449909148979678908045646979068943144100752894273021242429231685752302768320512850299474612673115902419309236528
0.375,0.1624561539485106654179655964813743665726566542243029452222374662775292137304890679589436743776081162507185364959971595730838152014898690814827406352995,0.0119847289577761657827473310042812195410195645025450849783600582339943184728725478988723729849579816721910128952989393166040298657809054645704294033751
0.40625,0.1725715906680369111172275202609332345817228558646165487119081108124746129666949388238602072887643978874646670107362338545528189440342188050816886264199,0.01424525040738545155088429750353206327671560522245150875474293439886585734633227062593636405049988329745893610694811339116885841941086404929273756379119
0.4375,0.182124711990648360283533550009344956217988876561574667389379241758799155065977654888020140031262825207310529396081085762484153435845750221304229851912,0.01663348340490142951335798718514752682488895846040315063778421566296383747585660895893715327392984004768609714442165575580237686938954736024037734650468
0.46875,0.1911294665923990941081695855215025328028916265594899682944517917053341332458432433270392472309486744665017408124140696238302981438856257217175169198242,0.01912737700614076028991837079990946032983503957624188004547466262941478833898174967563755666917324425042467198812027598587137928304167467647986530855343
0.5,0.1996025292628511199663412133035161685760552351486271700768819362715944197081954080393609541178180600523908155016480538590798170657871405456030168970432,0.02170533745165471849473836161236740161150252633796381495462610217720589583260976722674451573860728241873746040591141967713734013329651904343666513935062
0.53125,0.2075626586788270054778654101980937821135647152331931852034574359150398070859472195889455039929597711865630693599152288919936942569144246063552778937143,0.02434662119628568081435595309573290632759410191777378355122053832589090654965514946821958568534470709108484800434175957263813828225689093403899298456474
0.5625,0.2150301432300603408252372429517836049823500943312234802837576898550527721827737832033337672620912858539173826337023689345093974746861355482083171106272,0.02703162780226634026891734523783075593667358818311965179835823009089025082818319009925732207956085367367377439996023789831419417691793865433451902065503
0.59375,0.2220263266037784398533612876078580983600404914071661855813284596080741789485286003269176589837893744083316119674588343007016213935255157525265474320826,0.02974210751009413371096125894759167201297887809662932080131253862089724566950192050024373602592406953209790509584366123101210881463415551927835512983496
0.625,0.2285732051012989426386294875714650789237346578782676939867940277126074061378616589376284651405959936882103530372496786120953956732335261044246993678434,0.03246129709893436413461849966497234605588242398409547317216897081421344495836670643940965996130942165773733763370564146109255497114611122057069627036574
0.65625,0.2346930890293915841570932716512553440513878040231552294949219089439065416391668144877096080195958205883817699118498914309482438969796821214899431003498,0.03517399636045656997780219205225236328787673221991663859992480995595205487223527909726253339976974081179092458230820445305852049770513551493106836442837
0.6875,0.2404083209511505399066246835503020608030479264764033284434829504192828900826641961942358432859616718689460742972793080035095208811197726534274039968692,0.03786659619507949231732082788661277417390368200195277854611948705312736546616214004968148147363197382416243218252804855162750203338875848918417552080297
0.71875,0.2457410440696488209486117260403426414495027258762556930491001645676282597231563850044246872932816114759201907555173240524668283273361789249882623444679,0.0405270680419641400076344897555092266202827626595047237445822135780746478601806588206740356509429371130658773025039040290051597538822148594207109549669
0.75,0.250713014531773674789891095337964659493400546946823741049345824376818033791701123729291817624154128257707983064001676375810233308530149844222714897432,0.04314492310638259634612078034327967751577524189065498653276740080833419455224743894098483742175059113275912968263621391682872959917121543852348950799564
0.78125,0.2553454519626807144880269341127731434777121646967051722291293478586626890719522887788985100563439948566719660860486981863228793379407864381969433164969,0.04571114867318795535060438537056025616923855724014179634623495804846155263820530023382624079812959935751026334662954129994119167195260338044716641547434
0.8125,0.2596589230602178059261217042348219210953619926067127373233965680369927718306398235165687767664683597928312161287265932487699814435643022510336203534914,0.04821812770795667629952854075582058547748178297895951988376820745470302410278068159887648965993241580088794499649128399180641487898626759362525994465236
0.84375,0.2636732535835309851934115504663860581477661912317236013072302227485125413453289247791261767798416168390549622340485964706656676176623143484419860215858,0.05065954695654803159328971104728362889557533795870897718270315734581782881564358719729759864118519407353638586045976383489244795202226040187491542170036
0.875,0.2674074645535629086475044812153296669683250385683447910587385212444305208936582427839757147242423475365269146361787054142901070807940465730751913805993,0.05303029786292461368382223613584414007965821036108859825503793263206828401158746450681313405847831216986535925880516006013121654521409113070164824974778
0.90625,0.2708797289401507964900115563644564363971499674674897175557042893639610102150784906117959659598387353498835744110774367022699853439204032117277989885443,0.05532637383389773366776604454806857063040232366727177757355942492361386418678600615313412110235486523004728991198402591869466962433356406446625168798754
0.9375,0.2741073455375664623344577014199131122215040184713653547507606982292861234427040182231876762047858986870029165380388865014545794746900831850240812456883,0.05754476668498246579331199315298279473540195176865397479373727412849325690779320018273977232030506100411680298588777945991275689057361472251070061009516
0.96875,0.2771067271256933999626073032236858722843866685248817381345311054152043869129601077201977745602284054173962387133826526266207273113109033826376011331001,0.05968336449875399599763190693374001983576636056914308873039051492715837808797331278996191294514969284586503284298010766585896547105544095859689026165691
1,0.2798934003768228294742064136526901366306257081363209601031335831780717609791088901087787073052785281589890278162916606380170827007494921572657355237864,0.06174085260964523392324330337484736250621342754758343266559267373419406178870012282653932585884515432121630478529668574693645558994794043552503261132578
1.03125,0.2824820152983769692830417219508134040555335788072900836327266531051658858351331342442616825171863581161888470197972747339479931965675707964907399875274,0.06371661898987343691018002277417219449703059903608919940446059044010098431091264288544391978979614906926639363807468417221915789854378839437399666716107
1.0625,0.2848863623005117802980622198932969098613542832521572365128554398496549379034238120790014989388625432529762269559247167252738242962757178653175615711203,0.06561066494260832176341804126258724146614887756769217244584477588631725881406060862370332771752691920760031978304593259139806417428978146330886697526721
1.09375,0.2871193952457860769959875141218580042048879765158054778626399687419737118236139601056175475998797169434506089648155792347596803983090168510105856917058,0.06742352170301116764584650872360166956045997522435611660874038765503545158249463786781664121890300371363930736712009414831277762680011951563857220878697
1.125,0.2891932590775300131974931851366569675468941931377540421317418670340704760942260719515420700996358915116585012897329400345234186272506110480587864903574,0.06915617329797344424525524967401548883296942426167971756923970500101208349097887179627213049883499321394204978992574979057541673462773822145254554695231
1.15625,0.2911193208360523336003454757777695080279286464876195597952110034178374719675337905090866213106738528285421706148371142049178005767212622809412426846967,0.07080998581419733159479249970162480497277209850382063334149481868828439368677000265947541747201991978707345472036160899403886188894299022950238164076251
1.1875,0.2929082030593732145774293873784919686394912404420836609071309129399624479235579148833576247904715677715117713852941957130813201174910959452028950811462,0.07238664306507889543474361029108933069253722338679713750238533612089987137853155068617538374126999586552788965310752433122185408569132680560644705728375
1.21875,0.2945698187297949961600718199351818804730617591331180659192486262801263664974486137031602627973305482667291192595817265486769908650199088189810562427202,0.07388808852359449956183777005455741158620335882989023241721519823603991539312646034674482712820680977911114886695941518707965888015366893675864193269249
1.25,0.2961134070713612570086990482106522907232360364874667462998090798337705185144682636988028685092474963809339936159960316589358009706034279186622759877678,0.07531647329553214991862485585755679616989627932458950615701304779725965908406291880426782612562557184565789405354637919489806246031978913773802677035689
1.28125,0.2975475696280935461155759385469776127486523394909066503317162694680294202940740338483483484600621587635511718093816548620809516956661295416550508813942,0.07667410984000457335267003060698122354604100395916721740330313043863404669931465236101183194694527580068237876811028780097903036879383463248867558101073
1.3125,0.298880306160743804000891526853184588894291264899180852146470286841748548259386455286602258544414680013767857947502511516915658682741061753924804039382,0.07796343109784585180269414289855631127097316263101038768844681138853099722583061083510243331314568717632178716270692783145351918731840700383355525775375
1.34375,0.3001190499924667607146153519199494631127127789827068523926591695235711872057192025564661330637557926384258495587596678454325759147539636996097769948118,0.07918695465938398339230201955645253034201303567088330444452709873975026998180480499024548564878937251724000770029886687612370087255067059319834480850279
