index,x
0,1.0621536141318610967482944473735104805622989201333505279592335308221776389
1,1.7493817995620992816185192920932081696053029019282589530947731763399959237
2,2.2446807073714604366642703787468702120627377282203048535991000890324993506
3,2.6510717877524272124784093908491094659680859906307089457229562369790353734
4,3.0036877441328476318963788132972332672424949875590579934286346656517999231
5,3.3193691632869936866730112408137011355399554273384871782771122303674699084
6,3.6076943747392332135719613374504920209723159259213163644404149145115388323
7,3.8747160764929337709820412689501012555577834262901521889514732937656720066
8,4.1245437963112673984786526359602691511011324046645941639446954217589849868
9,4.360117341056471730519883301949382119853601674483982086890328618392896969
10,4.5836250189486654554767113477927268075585198207628844561986484814454402725
11,4.7967475064282530416298404164921850916856358901421747316068868176844386665
12,5.0008086398300688283789815763547397258269329038507505987640217406433015713
13,5.1968731418521829707667503242334500362492732680651054750830507310632801855
14,5.3858124450530543978822233614529724860284038388091144668656396525740439929
15,5.5683504773033118827397548976549821843817349225229504965621989544133641141
16,5.7450963905850781477505432559699956087209889879540726853952524584437882281
17,5.9165685117393892329142508193999294189876331570360821229733995001914059082
18,6.0832122302432159680850212247783965414524918985336281246628499218209081039
19,6.2454135986374179163863970006847996632842077714025825198534983506007677735
20,6.4035098378318188710646670784757674241851014692398461698721125825717815634
21,6.5577975666145896038779482503513012308989608876961013731533793987258247883
22,6.7085393301754576633679191604760457798540937488184767040160287896205360836
23,6.855968838427983192500827148846736287929114952860031848991702227368794913
24,7.0002952126203307102251330885554413908418934099515710490547391740741190234
25,7.1417064604157789573404726123800734361316120974941635708937900508037796288
26,7.2803723440986697167732167690956274589363975431374843100537168726001720526
27,7.4164467665877446770207027403755954140525881079405362595857046675510138806
28,7.5500697707584201515626921496914437150059536660531058811438409659493527164
29,7.6813692260006443092257861172734167045088659219900073153596048351546450796
30,7.8104622597986137782030367076062542241505717518334467098985677341560347453
31,7.9374564799118835488526843784867480557023155178993286240791863904379089017
32,8.0624510234120534420501291584023212689098403098922345074751479113129056285
33,8.1855374616379887837854065070736003035490726720757976211152239602839968577
34,8.3068005845383371423406634493721686601192186919831173759085307782293367976
35,8.4263190834825620940421185055398756362769090297808257006745949493429009429
36,8.5441661481541157767050031005223200947835276623998451495114257392866901321
37,8.6604099903790675095388484583670557006963741384781086166118670293598961789
38,8.7751143055313286598782132864215469649609657110621824659093432574834488933
39,8.8883386803713949404016829979482121000228424820622062872043589071124146145
40,9.0001389547278003726047816148890784308981122472677727947531971611392786039
41,9.1105675432490879605795280672028530853633536028133005277949374032861776404
42,9.2196737224848513773407023643572797317562049821393983893462744636252040939
43,9.327503887755128721680591898113372331659513545547259773779716463843730492
44,9.4341017836051233541208593545578846681387657014050584978100357335741948515
45,9.5395087110908822968443557010893753221827133835267113765804188736727035648
46,9.6437637146805717887444236039162746060054151429603342552249581994775358146
47,9.7469037511689304145965545869243990562083721203091177521018364302729738463
48,9.8489638426761967753319585004296139616503537492360592448915471549348948888
49,9.9499772155267077051984219682146843753353604606968634412289755096879784364
50,10.049975426567873442431550562437224027676600618086000061633534515962886685
51,10.148988478290390688424063351211191151665004230780466135810337239891736969
52,10.247044923939664497311709269254659613137310091661300883050977967582154377
53,10.344171963661810944286196032220782447959119054233163098079087574345441769
54,10.440395532601464214811917952829358502295525962780562894875113662500012569
55,10.535740381759739985387833848518081016794332086936372974777256772548376439
56,10.630230152326478310171185504576438535654072329904939690252523720294844778
57,10.723887444119110983381846640353914481921755511908450958964270481791264639
58,10.816733878689338420895620810436124205904665516395233712287043191002877055
59,10.908790157596723579822233094124888165004147017434031072483465075220535646
60,11.000076116294023540311344809027401337276886016073738220840779787260323286
61,11.090610774021493294963389708017868521061875256824900604968359681995013074
62,11.180412380065588838891578015929397117935483555798735996204057031039186766
63,11.269498456700685221797597261876606175728696105341500217443211420652131695
64,11.357885839099943805029342786175082966124328020267574395421719411396454803
65,11.445590712472743249134748724020165042240046723658390959313434790339023845
66,11.532628646660644525558338838766766153528186484083761075490104884203796941
67,11.619014628401274470142270168427210627741414140168180814003299396051914979
68,11.704763091449426511680690768490913892590722974006717762089790903680926564
69,11.789887944726782189570565671347556215802679442185973213083947816613315868
70,11.874402598655685976329401074435570153521529718681742995507198530212919159
71,11.958319989818127637022824521407501489578316153622497585479813587420665966
72,12.041652604068300376367727090328015247010807328252535497647868192714899415
73,12.124412498215635012773775620988554830626316711632105088154262373914858315
74,12.206611320384908497016076958346152112496999525358531621959286563728920934
