x=0.25, n=4
,i,p_i,q_i
f(x),0,4.6492823837438362689695204423667311569069903875270151003828862678e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,5.1533402644264018213650771643839521499881733539103675535593584207e-1,1.6105457655143985111996727043106591038996555061312794944229931561e0
f(x),2,4.3510747089311507001564976561323456017971358552674969022080322271e-2,1.3703280777594966163118429057429781724521230028235216198334130756e0
f(x),3,1.1592073538379154589257770436077229418399875210735207836073463383e-1,6.2090382136422382318012175208799845275751965559688539767763061266e-1
f(x),4,-1.4009996481090777418461561919976528942104504639488570448098280352e-2,1.5075414390340286768476759069838173891823422628548511059575481923e-1
g(x),0,2.9724309276383357356830390577702421044310722089921053137370788275e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
g(x),1,-1.1386757099155155684511880499199456476593035336816885740512293967e-1,1.7527022735277684869064866593237524988385106643110320912265441856e0
g(x),2,1.1966604194151946968997920451728398330962820535531885474268908666e-2,1.6351353283711692579788952595506530345597381939656982217112918481e0
g(x),3,2.3117245045044569831779704891071566691529292075785490990551834705e-2,8.1848613474169798898985062115894439532446907020625540153428405092e-1
g(x),4,-9.1587195416001503170755616010535234061036988151568500912030113549e-3,2.2790743633485016575639227756629536727479154333037908522164232184e-1
relative error f(x)=1.3370700843e-11, relative error g(x)=5.6328131142e-11

x=0.25, n=5
,i,p_i,q_i
f(x),0,4.6492823837438362689695204423667311569069903875270151003828862678e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,3.2836994741957543986707161508295981819623345463355337965033377579e-1,1.2084104173222075001865387523416665982475130045955561551605571238e0
f(x),2,-1.4342673957980527963809296158062048043948442835284865056556628441e-1,7.6632590902460964930108162441637726519240307170126793748152515278e-1
f(x),3,1.2080762566545235463424796800226435549040438908098876672231765185e-1,1.3991231165565190001246596034393504156177450609453233189408034471e-1
f(x),4,-6.2107023548402802995051777840523598074169546557015328675380438862e-2,-4.6504604147145632866057983207008803725113886199675162953061935632e-2
f(x),5,8.1249799077466610076134684494870923454689485335316334906522129648e-3,-4.2870582352701343832317896299086059795303902057097228996278709606e-2
g(x),0,2.9724309276383357356830390577702421044310722089921053137370788275e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
g(x),1,-3.9218176096147479408123225186439059421164334945482218827877468671e-2,2.0038414815117021176988686575958255063032776318031604496125288821e0
g(x),2,-3.8980016091748062565402112318722692534887439017769282241487114009e-2,2.0001165780610176412012890221578858583188122803003074791615201433e0
g(x),3,6.1196734991670646348842439423106538666908678601225720520197528276e-2,1.1865395667686893529208079233304296306186401462374318334331488439e0
g(x),4,-2.7196762236708820833982562384524575617714976338470891088177855062e-2,4.2382438397897412807219403567442517679895025297386338912440159460e-1
g(x),5,4.9892700428206106515869479534975500506306996497237426610531895180e-3,7.6436126314613113978622455340271093808194360516853164422774500015e-2
relative error f(x)=1.0744612277e-13, relative error g(x)=9.0824506746e-14

x=0.25, n=6
,i,p_i,q_i
f(x),0,4.6492823837438362689695204423667311569069903875270151003828862678e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,7.4838139163719682863847622340241459465101649176623866091931384518e-1,2.1118002516032713793640032355687321094901719174112312760780092425e0
f(x),2,3.7592316689873210645028844805304635344913879051303514546195253305e-1,2.3369984954794902602508080713804075713893935817359326884711805322e0
f(x),3,2.3808592153615135006063248554177722973870161316766238861764247734e-1,1.6036658817504762004374500643155728302187995103316522174488767452e0
f(x),4,6.7871305452921773860179550546126216932056142806946383107344499824e-2,7.3628736013893094523888223971031146077011142187947665007196076476e-1
f(x),5,7.5449582761631431849354586028264145059337911232831807517878093990e-3,2.1253484556328757345733511185771462106673473180670553987978227288e-1
f(x),6,6.2913927168671591298468794846874963695498170933265826596060596645e-4,3.3483426817036582531712314409217037816977013286502723759662946720e-2
g(x),0,2.9724309276383357356830390577702421044310722089921053137370788275e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
g(x),1,-4.2903406074427412913294968273970482903189223112324950397402196919e-2,1.9914434474850277522291552889770622847726988520316400318348836721e0
g(x),2,-8.7657153087630589381738019001548225300502910272258009172529527739e-3,2.0752855436175880209498683976357487067845210590371005006772508338e0
g(x),3,5.0291811846150078983108272724602008473835038918512780066046067299e-2,1.3370344706910153232281896636931187349669632295077808040735709740e0
g(x),4,-2.6758669517705973462018132696773136489885527045232295281942960663e-2,5.7264786040706948429252293894929704348095246791484065477047717571e-1
g(x),5,7.6384736051771784885568541370635479275152598227095275280313555158e-3,1.5304051303999406651245666751772550148777089322955247920556572761e-1
g(x),6,-9.7784504723229267422025511466697869419755996057283761107254316920e-4,2.1845971344352006710409427507304070710479984521023663664688790429e-2
relative error f(x)=1.0226164763e-16, relative error g(x)=3.9066883415e-17

x=0.25, n=7
,i,p_i,q_i
f(x),0,4.6492823837438362689695204423667311569069903875270151003828862678e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,8.4685713444526331637143668914828816776582460787875300277974136794e-1,2.3236087301598456550771185452869060546873137861115875899133078305e0
f(x),2,5.0975522763829925645797774590518823603700256835423303081563557796e-1,2.7312090856483510960341705741688780179980577444962735724796213750e0
f(x),3,3.0027758884797907104966979764815648917723270784102633247790180483e-1,2.0345115671719812797067330737153573571508229114213969180775888655e0
f(x),4,1.2591396137990676711397096125427824199237464017744546613159980558e-1,1.0352757474267261456397333974556853071436270816225736096065590106e0
f(x),5,1.5507409137936207368696174861174972133998598626646233945537640479e-2,3.6105928103211910530258903280593632624825996987641283239477713750e-1
