x,f(x),g(x)
0,0.5,0.5
0.015625,0.49981221038064120367282983158442366543662526705950194340784428173483446316,0.48456671143943030972882112140018391076608267507315584528656831226225542362
0.03125,0.49926437955719522460014635969026974587041184069365259539803175986267860529,0.46951642142813255479187152644753242682533888756975150218156467594225313559
0.046875,0.49837915478173153031515423571769327474545341996623338734968365498720427083,0.45484789573137145464778260567914169364488188458238077520394991350353277669
0.0625,0.49717830768130231195324852163051434151263966503132685853623592818340853921,0.44055915745692651633664254678357627168238615603773232881095486423251690781
0.078125,0.49568274164656565365507867773236299396648514147022244240114389681036655684,0.42664755218154151432871088754661752566815821218879541532312862852380624605
0.09375,0.49391250167499422098656256590752901108162485150678217961830056908924284093,0.41310980976933398477575768335495834940417441734030885477965984835581923412
0.109375,0.49188678639295615827020189484480131088219977775939836749177152895912289979,0.39994210293344879941605027694850106145555922669892643045961988475089357334
0.125,0.48962396199825528942988377750591026302204346096845792756858051245518473368,0.38714010260313544973084764199805019235319820802286141064834643724129638748
0.140625,0.48714157788160331454684925276481784164416341475717310496841350857603199888,0.37469903016779719880419518088949437646429934650380299290496022553476496111
0.15625,0.48445638370190831013782069200517061793390185656901171604227198432093365677,0.36261370667751652700219572093413030813566908263746117770847996202414666071
0.171875,0.48158434770615266136125899496920484310964161249518738477390732602253812844,0.35087859908621623943354170075308264081816081511927373218471853802367523383
0.1875,0.47854067609996020914748076812393273312253785199236681706468963734886743405,0.33948786362907593298863734900126200458436999176387869288910433521428133884
0.203125,0.47533983328968608241123525732692793480446207022794613375943804663853108707,0.32843538643019145171235350005660049683225300224522144279267611514734205323
0.21875,0.4719955628309803366387942200893746858401550778865743210629141343349668054,0.31771482143983799168994350890980520598849196674231207521190747963623442213
0.234375,0.46852090893226201134383950139576813328197871527036619981964495795187738166,0.30731962580316829292347038222632490579882314722364221399581850469719427441
0.25,0.46492823837438362689695204423667311569069903875270151003828862677654665544,0.29724309276383357356830390577702421044310722089921053137370788274979080182
0.265625,0.46122926271996304548935519160641859828261486337432199874173443373841640624,0.28747838220693923901144964395157344039722849315761026885222097227533416484
0.28125,0.45743506069741045155851159018906522854531099266725161707768453361624286013,0.27801854894601768149179841063987592773454804955435723559241219142855044107
0.296875,0.45355610065558763791542192177418570202456357973282131656844957783856199982,0.26885656885838949947322490691171608979257606011811491601558259334773583282
0.3125,0.44960226299531317099518132204529432937078815164431712936987269799164816329,0.25998536297246019239353079008974180592229866989790161336188143042754861777
0.328125,0.4455828624935818712936757219084412095674138810459597493885278062775619698,0.25139781960922507582748596069879945650808966617026959552246589354498252418
0.34375,0.44150667044541458906735242957364525584791339617414624549173150949845158268,0.24308681467858946445442582665796022149814134832681725478471738524433518492
